dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,eval_metrics/MAAPE[0.5],domain,num_variates
ds-1235-5T/Short/medium,naive,0.8049481201171875,0.8049481201171875,0.3172549438476562,0.816003564352682,27.558694661458333,1.0464535522460938,20.12055296273637,0.8971890102521249,2.6086181404938142,0.9224332801956346,1.2257375396667445,0.7204399617513021,Infrastructure,40
ds-1235-5T/Short/long,naive,0.7593929036458333,0.7593929036458333,0.2939820692274305,0.7521719081929589,27.112916666666667,1.0125577799479166,20.63022007273677,0.8714315255060683,2.602494610111761,0.8779654261298159,1.3080298178280785,0.6879392270688658,Infrastructure,40
ds-1236-5T/Short/short,naive,23.24984334309896,23.24984334309896,1.417987060546875,10.29239714541652,10.47343037923177,0.2277100245157877,305.5361787013164,4.821809135905212,5.122924384767732,1.5065383728418709,1.8343451050608937,0.118991740544637,Infrastructure,2
ds-1236-5T/Short/medium,naive,9.354630533854166,9.354630533854166,0.5810230890909831,5.330594063479016,2.011885325113932,0.0945841789245605,218.9434345979759,3.0585340498111453,5.7537019285925215,1.093018293671112,1.747994954808001,0.0421821435292561,Infrastructure,2
ds-1236-5T/Short/long,naive,7.493693938078704,7.493693938078704,0.4964686075846354,4.70609996364131,1.2712302879050923,0.0851095128942419,201.00903656900192,2.737461221292222,5.727584279626692,1.0387602096469524,1.8583335932662333,0.0386822877106843,Infrastructure,2
ds-1237-5T/Short/short,naive,11.741789883179283,11.741789883179283,0.435098252274061,1.0275657861042655,2.1268871325282426,0.115518926342888,39.68267569094392,3.4266295223118712,11.127814218054391,1.4129606035260356,2.468848861735688,0.0702674829903902,Infrastructure,71
ds-1237-5T/Short/medium,naive,12.870911274941314,12.870911274941314,0.4315852062243251,1.2404246637480034,1.4959892165492958,0.1264409168225498,49.51081502477899,3.5876052284136994,9.297749398301974,1.1185096564435948,2.073763349106911,0.0767037763282166,Infrastructure,71
ds-1237-5T/Short/long,naive,8.882303892801252,8.882303892801252,0.4512197097515649,1.382035528366068,1.6388830814749609,0.1380933241229786,54.89305623474069,2.980319427981043,7.918438869279452,1.1988499134477713,2.2251704779993826,0.084349134084018,Infrastructure,71
ds-1238-10S/Short/short,naive,12.5045263671875,12.5045263671875,0.9478959147135416,1.1921031876079715,22.987548828125,1.3752845255533854,17.50652040888081,3.536173972980897,5.6927007480804885,1.525967846611196,1.424963931404052,0.882965087890625,Infrastructure,8
ds-1238-10S/Short/medium,naive,5.039160698784722,5.039160698784722,0.7995058865017362,1.056944337546941,18.547139756944443,1.4161930338541666,11.470035497444716,2.2448074970439498,3.8909854475118064,1.385805140830468,1.2153996919472774,0.8998637559678819,Infrastructure,8
